s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,a,a,a,a,a,a,a
b,0,0,0,0,0,0,0,a,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b,b,b,b,b,b,b,b
b,0,0,0,0,0,0,0,0,0,0,0,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,f,0,0,0,0,0,0,0,0,0,b,b,b,b,b,b,b,b
b,0,0,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,j,0,0,0,0,0,0,a,a,a,a,0,0,0,0,0,0,0,f,b,b,b,b,b,b,b,b
b,0,0,0,a,a,a,a,0,0,0,0,0,0,0,0,0,0,a,a,a,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,b,b,b,b,b,b,b,b
b,0,0,0,0,0,0,0,0,0,0,0,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b,b,b,b,b,b,b,b,b
b,0,0,0,0,0,0,0,0,0,0,0,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b,b,b,b,b,b,b,b,b
b,0,0,0,0,0,0,0,f,0,0,r,b,a,0,0,0,0,0,0,0,0,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b,b,b,b,b,b,b,b,b
b,0,0,0,f,0,0,0,0,0,a,a,b,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g,b,b,b,b,b,b,b,b,b
b,0,0,g,0,0,j,f,g,0,b,b,b,b,a,r,0,0,c,0,f,0,0,0,f,g,a,0,f,0,c,0,0,0,o,0,0,a,b,b,b,b,b,b,b,b,b
b,a,a,a,a,a,a,a,a,a,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,b,0,0,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,b,b
b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,0,0,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,0,0,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,0,0,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
